StatZone,Street,HouseNum,Year,Month,Day,DayWeek,TotPropCrime,TotCrimCrime,TotBusiBurg,TotApartBurg,CarTheft,TotPropCrime.1,Thefts,BodyAssaults,SexualAssaults,Robbery
611,דמה,דמה,2012.0,,,,84.0,53.0,0.0,15.0,4.0,34.0,8.0,15.0,0.0,2.0
612,דמה,דמה,2012.0,,,,69.0,25.0,1.0,10.0,2.0,12.0,17.0,24.0,1.0,2.0
613,דמה,דמה,2012.0,,,,103.0,43.0,1.0,32.0,4.0,6.0,26.0,36.0,3.0,1.0
621,דמה,דמה,2012.0,,,,131.0,50.0,0.0,34.0,7.0,9.0,48.0,30.0,4.0,1.0
622,דמה,דמה,2012.0,,,,21.0,9.0,0.0,4.0,3.0,2.0,8.0,5.0,0.0,0.0
623,דמה,דמה,2012.0,,,,88.0,43.0,1.0,32.0,4.0,6.0,21.0,30.0,1.0,2.0
631,דמה,דמה,2012.0,,,,129.0,49.0,9.0,19.0,10.0,11.0,42.0,45.0,6.0,2.0
632,דמה,דמה,2012.0,,,,156.0,38.0,7.0,14.0,5.0,12.0,68.0,59.0,3.0,8.0
633,דמה,דמה,2012.0,,,,399.0,52.0,23.0,6.0,7.0,16.0,213.0,77.0,7.0,17.0
634,דמה,דמה,2012.0,,,,417.0,52.0,25.0,13.0,2.0,12.0,207.0,97.0,8.0,20.0
641,דמה,דמה,2012.0,,,,198.0,42.0,7.0,23.0,7.0,5.0,96.0,71.0,9.0,7.0
642,דמה,דמה,2012.0,,,,80.0,31.0,8.0,17.0,4.0,2.0,29.0,27.0,0.0,0.0
643,דמה,דמה,2012.0,,,,27.0,11.0,1.0,7.0,1.0,2.0,8.0,4.0,0.0,1.0
